alpha_1,alpha_2,Im(lambda_6),Re(lambda_6),Re(lambda_5)
0.15001,3.90001,3.033974663,-0.701460117,-0.701460117
0.15001,3.95001,3.030687465,-0.70146378,-0.70146378
0.15001,4.00001,3.027471006,-0.701467327,-0.701467327
0.15001,4.05001,3.024323147,-0.701470764,-0.701470764
0.15001,4.10001,3.02124184,-0.701474094,-0.701474094
0.15001,4.15001,3.018225121,-0.701477322,-0.701477322
0.15001,4.20001,3.015271104,-0.701480452,-0.701480452
0.15001,4.25001,3.012377976,-0.701483488,-0.701483488
0.15001,4.30001,3.009544001,-0.701486434,-0.701486434
0.15001,4.35001,3.006767504,-0.701489292,-0.701489292
0.15001,4.40001,3.004046881,-0.701492067,-0.701492067
0.15001,4.45001,3.001380583,-0.701494761,-0.701494761
0.15001,4.50001,2.998767125,-0.701497377,-0.701497377
0.15001,4.55001,2.996205074,-0.701499918,-0.701499918
0.15001,4.60001,2.99369305,-0.701502388,-0.701502388
0.15001,4.65001,2.991229724,-0.701504787,-0.701504787
0.15001,4.70001,2.988813817,-0.70150712,-0.70150712
0.15001,4.75001,2.986444092,-0.701509388,-0.701509388
0.15001,4.80001,2.98411936,-0.701511593,-0.701511593
0.15001,4.85001,2.981838469,-0.701513738,-0.701513738
0.15001,4.90001,2.979600311,-0.701515824,-0.701515824
0.15001,4.95001,2.977403815,-0.701517855,-0.701517855
0.20001,0.00001,7.711574768,2.4745484,2.4745484
0.20001,0.05001,6.360506502,-0.614445233,-0.614445233
0.20001,0.10001,5.59242662,-0.666371233,-0.666371233
0.20001,0.15001,5.183990778,-0.681087144,-0.681087144
0.20001,0.20001,4.914092659,-0.687674815,-0.687674815
0.20001,0.25001,4.716420778,-0.691307107,-0.691307107
0.20001,0.30001,4.562564998,-0.693568276,-0.693568276
0.20001,0.35001,4.437873581,-0.695092957,-0.695092957
0.20001,0.40001,4.333857581,-0.696181024,-0.696181024
0.20001,0.45001,4.245185895,-0.696991137,-0.696991137
0.20001,0.50001,4.168305805,-0.697614487,-0.697614487
0.20001,0.55001,4.100739134,-0.698106916,-0.698106916
0.20001,0.60001,4.04069342,-0.69850438,-0.69850438
0.20001,0.65001,3.986833335,-0.698830994,-0.698830994
0.20001,0.70001,3.93813941,-0.699103487,-0.699103487
0.20001,0.75001,3.893817051,-0.699333798,-0.699333798
0.20001,0.80001,3.853235869,-0.699530661,-0.699530661
0.20001,0.85001,3.815888022,-0.699700599,-0.699700599
