alpha_1,alpha_2,imaginary,real
1440.036,21960.036,1.563838304,-0.696932356
1800.036,27360.036,1.564026835,-0.69692952
2160.036,32760.036,1.564153203,-0.696927616
360.036,5400.036,1.564776209,-0.696935092
720.036,10800.036,1.564784779,-0.696926511
1080.036,16200.036,1.564787636,-0.69692365
1440.036,21600.036,1.564789065,-0.69692222
1800.036,27000.036,1.564789923,-0.696921362
2160.036,32400.036,1.564790494,-0.69692079
2160.036,32040.036,1.565441818,-0.696913806
1800.036,26640.036,1.565573219,-0.696912977
1440.036,21240.036,1.565771403,-0.696911733
1080.036,15840.036,1.566104636,-0.696909652
2160.036,31680.036,1.566107645,-0.696906659
1800.036,26280.036,1.566377537,-0.696904358
720.036,10440.036,1.566782286,-0.696905467
1440.036,20880.036,1.566786919,-0.696900875
2160.036,31320.036,1.566788463,-0.696899344
1800.036,25920.036,1.567203735,-0.696895492
1080.036,15480.036,1.567481615,-0.696894988
2160.036,30960.036,1.567484786,-0.696891854
1440.036,20520.036,1.567837321,-0.696889627
1800.036,25560.036,1.568052719,-0.696886371
2160.036,30600.036,1.568197149,-0.696884183
2520.036,35640.036,1.568300724,-0.696882612
360.036,5040.036,1.568909393,-0.696892747
720.036,10080.036,1.568919423,-0.696882894
1080.036,15120.036,1.568922768,-0.69687961
1440.036,20160.036,1.568924441,-0.696877967
1800.036,25200.036,1.568925444,-0.696876982
2160.036,30240.036,1.568926113,-0.696876325
2520.036,35280.036,1.568926591,-0.696875856
2520.036,34920.036,1.569565087,-0.696868956
2160.036,29880.036,1.569672266,-0.696868272
1800.036,24840.036,1.569822922,-0.696867314
1440.036,19800.036,1.570050237,-0.696865873
2520.036,34560.036,1.570216597,-0.696861908
1080.036,14760.036,1.570432691,-0.696863465
2160.036,29520.036,1.570436223,-0.696860017
1800.036,24480.036,1.57074622,-0.696857354
2520.036,34200.036,1.570881524,-0.696854708
720.036,9720.036,1.571211367,-0.696858619
1440.036,19440.036,1.571216814,-0.69685332
2160.036,29160.036,1.571218629,-0.696851553
2520.036,33840.036,1.571560286,-0.69684735
1800.036,24120.036,1.57169647,-0.696847088
1080.036,14400.036,1.572016427,-0.696846494
2160.036,28800.036,1.572020162,-0.696842872
2520.036,33480.036,1.57225332,-0.696839829
1440.036,19080.036,1.572426427,-0.696840281
1800.036,23760.036,1.57267487,-0.696836503
2160.036,28440.036,1.57284153,-0.696833964
2520.036,33120.036,1.572961082,-0.69683214
360.036,4680.036,1.573663728,-0.69684387
720.036,9360.036,1.573675577,-0.696832442
1080.036,14040.036,1.573679529,-0.696828632
1440.036,18720.036,1.573681505,-0.696826726
1800.036,23400.036,1.57368269,-0.696825583
2160.036,28080.036,1.573683481,-0.696824821
2520.036,32760.036,1.573684046,-0.696824277
2520.036,32400.036,1.574422707,-0.696816234
2160.036,27720.036,1.574546798,-0.696815434
1800.036,23040.036,1.574721278,-0.696814313
1440.036,18360.036,1.57498466,-0.696812626
2520.036,32040.036,1.575177582,-0.696808005
