alpha_1,alpha_2,omega_n,zeta,PO,omega_d,t_p,t_r,t_s
9.30001,1.40001,7.368990843,0.840172633,0.76962301,3.996344079,0.786116658,0.642686852,0.730699372
7.30001,1.10001,7.374829193,0.839574022,0.778727427,4.006341335,0.784155016,0.64080784,0.730365868
2.00001,0.30001,7.393911957,0.839870521,0.774210343,4.013317792,0.782791898,0.63982996,0.728359681
5.30001,0.80001,7.385058453,0.838527434,0.794790585,4.023818363,0.780749122,0.637546484,0.729785459
8.60001,1.30001,7.383002253,0.838215151,0.799619389,4.02624405,0.780278745,0.637020092,0.730118292
9.90001,1.50001,7.38901892,0.837216504,0.815172071,4.040844455,0.777459437,0.634265861,0.729940515
6.60001,1.00001,7.393672956,0.83696882,0.819055566,4.046191798,0.776431966,0.633315735,0.729584969
7.90001,1.20001,7.399442361,0.835926781,0.835507717,4.061117164,0.773578433,0.630519992,0.729455711
3.30001,0.50001,7.407617522,0.836229303,0.830712425,4.062188817,0.773374354,0.630489401,0.728522736
9.20001,1.40001,7.403576378,0.835181011,0.847395255,4.071783118,0.77155206,0.628534989,0.729365534
4.60001,0.70001,7.413561702,0.83465471,0.85584126,4.08319378,0.769395925,0.626544326,0.728608005
5.90001,0.90001,7.416882531,0.833776248,0.870043429,4.094879368,0.767200294,0.62436732,0.728659386
7.20001,1.10001,7.419002715,0.833215849,0.879171959,4.102321764,0.765808446,0.62298736,0.728693578
8.50001,1.30001,7.420473706,0.83282725,0.885533323,4.107477004,0.76484729,0.622034451,0.728717932
9.80001,1.50001,7.421554087,0.832541949,0.890220048,4.111258985,0.7641437,0.621336917,0.728736146
9.10001,1.40001,7.438652265,0.830160627,0.929879287,4.147229315,0.757516022,0.614914649,0.728108678
7.80001,1.20001,7.440324512,0.83007421,0.931336677,4.149118868,0.757171041,0.614597257,0.727983458
6.50001,1.00001,7.442665027,0.82995335,0.933377066,4.1517627,0.756688877,0.614153689,0.727808299
5.20001,0.80001,7.44617442,0.829772331,0.936437734,4.155725082,0.755967392,0.613490041,0.727545887
3.90001,0.60001,7.452019739,0.829471353,0.941539036,4.162320106,0.754769593,0.612388479,0.727109404
2.60001,0.40001,7.463696664,0.828872085,0.951742118,4.175476813,0.752391354,0.610202127,0.72623967
9.70001,1.50001,7.454521748,0.827842111,0.969421622,4.181697279,0.751272138,0.608854749,0.727597645
8.40001,1.30001,7.458520088,0.827405737,0.976966637,4.188739318,0.750009111,0.607645546,0.727405364
7.10001,1.10001,7.463977574,0.826810823,0.987305304,4.198338848,0.74829421,0.606004041,0.727144101
5.80001,0.90001,7.471871239,0.825951789,1.002340799,4.212198359,0.745832078,0.603647923,0.726768618
1.30001,0.20001,7.498618683,0.827095497,0.982350567,4.214684254,0.745392173,0.603773959,0.723655883
9.00001,1.40001,7.474230163,0.825110994,1.017179366,4.222720759,0.743973574,0.601790907,0.726926217
4.50001,0.70001,7.484301047,0.824602553,1.0262112,4.233962636,0.7419982,0.599980639,0.726183057
7.70001,1.20001,7.481890086,0.824181838,1.033718194,4.237183339,0.741434203,0.59934917,0.726612311
9.60001,1.50001,7.487931538,0.823116587,1.052861581,4.2521898,0.738817598,0.596792245,0.726523019
6.40001,1.00001,7.492641495,0.822880589,1.057128974,4.257426341,0.737908868,0.595960619,0.726176923
8.30001,1.30001,7.4971562,0.821949994,1.074049487,4.270077741,0.73572259,0.593811817,0.726177536
3.20001,0.50001,7.506753654,0.822175984,1.069926771,4.273094826,0.735203121,0.593485429,0.725142606
5.10001,0.80001,7.508829157,0.820927763,1.092807552,4.287782142,0.732684766,0.590941909,0.725532648
7.00001,1.10001,7.509778209,0.820357925,1.103342094,4.294469642,0.731543803,0.589789469,0.725712414
8.90001,1.40001,7.51032212,0.820031607,1.109399822,4.298294306,0.730892868,0.589131965,0.725815836
9.50001,1.50001,7.521793392,0.818364963,1.140624888,4.322766134,0.726755174,0.585124535,0.725510475
7.60001,1.20001,7.52415827,0.818248864,1.142817844,4.325368881,0.726317856,0.584725744,0.725338643
5.70001,0.90001,7.528098083,0.818055676,1.146472055,4.329703073,0.725590785,0.584062813,0.725052616
3.80001,0.60001,7.535971538,0.817670459,1.153777741,4.338357568,0.72414332,0.582743366,0.724481898
8.20001,1.30001,7.536397384,0.816459383,1.176912384,4.351537486,0.721950038,0.580495636,0.725031745
6.30001,1.00001,7.543635655,0.815749152,1.190597198,4.363282952,0.72000663,0.578651344,0.724684675
1.90001,0.30001,7.559542827,0.816523993,1.175671784,4.364211009,0.719853519,0.578835538,0.722780322
8.80001,1.40001,7.546940591,0.814921952,1.206645415,4.373985744,0.718244831,0.576908795,0.724775473
4.40001,0.70001,7.557099083,0.814431586,1.216214553,4.385079213,0.7164278,0.575256487,0.724044001
6.90001,1.10001,7.556430114,0.813856095,1.227497771,4.390788262,0.715496277,0.574282798,0.724394171
9.40001,1.50001,7.556117563,0.813586817,1.232796942,4.393455104,0.715061968,0.573828761,0.724558405
7.50001,1.20001,7.567149014,0.812274465,1.258802114,4.413731877,0.711776959,0.570682013,0.724159281
5.00001,0.80001,7.573088099,0.811991013,1.264457975,4.420183848,0.710738006,0.569739105,0.723734001
8.10001,1.30001,7.576259542,0.810933248,1.285686715,4.433162463,0.708657235,0.567662842,0.723965609
2.50001,0.40001,7.590877541,0.811145755,1.281406283,4.439479569,0.707648859,0.566936919,0.722463938
5.60001,0.90001,7.58561006,0.810085965,1.302830716,4.447527532,0.706368343,0.565504098,0.723503732
8.70001,1.40001,7.584098455,0.809781497,1.309021679,4.449829946,0.706002857,0.565094839,0.723803296
